"日付け","終値","始値","高値","安値","前日比%"
"2013年04月19日","99.52","98.14","99.68","98.08","1.38%"
"2013年04月18日","98.17","98.09","98.52","97.62","0.06%"
"2013年04月17日","98.11","97.53","98.43","97.19","0.58%"
"2013年04月16日","97.54","96.74","98.15","95.93","0.79%"
"2013年04月15日","96.78","97.78","98.70","96.34","-1.65%"
"2013年04月12日","98.40","99.67","99.80","98.09","-1.28%"
"2013年04月11日","99.68","99.77","99.94","99.10","-0.10%"
"2013年04月10日","99.78","99.00","99.87","98.88","0.76%"
"2013年04月09日","99.03","99.34","99.66","98.58","-0.33%"
"2013年04月08日","99.36","97.84","99.38","97.83","1.88%"
"2013年04月05日","97.53","96.32","97.83","95.80","1.24%"
"2013年04月04日","96.34","93.03","96.41","92.72","3.52%"
"2013年04月03日","93.06","93.42","93.69","92.69","-0.41%"
"2013年04月02日","93.44","93.21","93.56","92.54","0.23%"
"2013年04月01日","93.23","94.18","94.37","93.16","-1.05%"
"2013年03月29日","94.22","94.13","94.30","93.96","0.08%"
"2013年03月28日","94.14","94.42","94.49","93.85","-0.32%"
"2013年03月27日","94.44","94.44","94.91","94.02","0.00%"
"2013年03月26日","94.44","94.15","94.61","93.85","0.29%"
"2013年03月25日","94.17","94.31","94.96","93.53","-0.37%"
"2013年03月22日","94.52","94.90","95.13","94.18","-0.39%"
"2013年03月21日","94.89","95.99","96.11","94.56","-1.19%"
"2013年03月20日","96.03","95.16","96.13","94.81","0.91%"
"2013年03月19日","95.16","95.20","95.74","94.71","-0.06%"
"2013年03月18日","95.22","94.10","95.60","94.03","-0.06%"
"2013年03月15日","95.28","96.08","96.27","95.06","-0.86%"
"2013年03月14日","96.11","96.11","96.59","95.66","0.00%"
"2013年03月13日","96.11","96.08","96.25","95.43","0.03%"
"2013年03月12日","96.08","96.26","96.71","95.62","-0.21%"
"2013年03月11日","96.28","95.95","96.36","95.90","0.26%"
"2013年03月08日","96.03","94.79","96.54","94.76","1.27%"
"2013年03月07日","94.83","94.04","95.06","93.77","0.80%"
"2013年03月06日","94.08","93.28","94.11","92.98","0.85%"
"2013年03月05日","93.29","93.46","93.54","92.89","-0.20%"
"2013年03月04日","93.48","93.56","93.72","93.15","-0.12%"
"2013年03月01日","93.59","92.54","93.68","92.41","1.11%"
"2013年02月28日","92.56","92.20","92.85","91.98","0.36%"
"2013年02月27日","92.23","91.95","92.43","91.12","0.27%"
"2013年02月26日","91.98","91.80","92.74","91.13","0.19%"
"2013年02月25日","91.81","93.96","94.76","90.92","-1.71%"
"2013年02月22日","93.41","93.08","93.50","92.90","0.32%"
"2013年02月21日","93.11","93.53","93.86","92.76","-0.48%"
"2013年02月20日","93.56","93.57","94.02","93.11","-0.02%"
"2013年02月19日","93.58","93.95","93.96","93.27","-0.39%"
"2013年02月18日","93.95","93.65","94.20","93.60","0.46%"
"2013年02月15日","93.52","92.86","93.84","92.21","0.69%"
"2013年02月14日","92.88","93.36","93.71","92.65","-0.55%"
"2013年02月13日","93.39","93.46","93.78","92.80","-0.09%"
"2013年02月12日","93.47","94.30","94.40","92.96","-0.91%"
"2013年02月11日","94.33","92.83","94.42","92.34","1.77%"
"2013年02月08日","92.69","93.61","93.74","92.15","-1.00%"
"2013年02月07日","93.63","93.62","93.91","93.06","-0.01%"
"2013年02月06日","93.64","93.61","94.06","93.26","0.01%"
"2013年02月05日","93.63","92.36","93.65","91.96","1.35%"
"2013年02月04日","92.38","92.82","93.18","92.18","-0.37%"
"2013年02月01日","92.72","91.69","92.96","91.59","1.09%"
"2013年01月31日","91.72","91.07","91.77","90.71","0.70%"
"2013年01月30日","91.08","90.73","91.40","90.64","0.39%"
"2013年01月29日","90.73","90.83","91.01","90.30","-0.13%"
"2013年01月28日","90.85","90.90","91.25","90.53","-0.08%"
"2013年01月25日","90.92","90.30","91.19","90.26","0.65%"
"2013年01月24日","90.33","88.60","90.54","88.40","1.94%"
"2013年01月23日","88.61","88.69","88.79","88.03","-0.11%"
"2013年01月22日","88.71","89.58","90.06","88.35","-1.00%"
"2013年01月21日","89.61","89.96","90.25","89.32","-0.52%"
"2013年01月18日","90.08","89.85","90.18","89.61","0.22%"
"2013年01月17日","89.88","88.36","90.10","88.11","1.69%"
"2013年01月16日","88.39","88.80","88.87","87.77","-0.45%"
"2013年01月15日","88.79","89.46","89.63","88.27","-0.76%"
"2013年01月14日","89.47","89.24","89.67","89.05","0.33%"
"2013年01月11日","89.18","88.78","89.44","88.66","0.45%"
"2013年01月10日","88.78","87.86","88.78","87.84","1.02%"
"2013年01月09日","87.88","87.03","88.01","86.81","0.95%"
"2013年01月08日","87.05","87.75","87.82","86.88","-0.83%"
"2013年01月07日","87.78","88.17","88.37","87.60","-0.42%"
"2013年01月04日","88.15","87.21","88.40","87.21","1.05%"
"2013年01月03日","87.23","87.32","87.36","86.74","-0.13%"
"2013年01月02日","87.34","86.67","87.34","86.51","0.75%"
"2013年01月01日","86.69","86.72","86.79","86.53","-0.07%"
